불용어 제거 리뷰
스프레이형식이라 간편해서 좋아요 동남아 갈 가져갔는데 잘 사용했습니다 하루 한 번으로는 뜨거운 태양을 차마 막진 못하더라고요 가지고 다니면서 수시로 뿌려줄 걸 그랬어요
워터파크가서 다리에 뿌리니 손으로 하지않아서 편하고 좋았어요
몸에는 선스프레이가 최고인 거 같아요 식물나라 선스틱이 보송하고 좋아서 스프레이도 구매해봤는데 선스틱만큼은 아니지만 보송해요 뿌리면 끈적하더라구요 몸에 선크림 바르기 힘든데 요거 슈슉 뿌리고 나가면 끝 대신 막 뿌리다보니까 양이 너어무 빨리 닳아요
여름에 바디쪽 선크림 바르기가 스프레이라서 좋음
스프레이타입이라 외부활동할때 뿌리기가 편하고 좋습니다
입자가 곱게 나와서 쓰기 편하고 좋아요얼굴을 제외한 몸에 사용하라고 되어 있네요
선스틱 살까 선스프레이 살까 고민하다 골랐는데 선스프레이로는 햇빛 방어 되는지 잘 모르겠어거ㅠㅠ 다음엔 선스틱으로 사려구요
여름이라 여기저기 막 뿌리려고 구매했어요 지난여름에 잘 사용한 기억이 있어서 재구매 하게 되었습니다 추천합니다
여름에 바디에 뿌려서 자외선 차단했어요 더운 여행지에서 잘 사용했습니다 추천드려요
선 스프레이 11 기획상품으로 구매해서 만족스럽게 사용하고 있습니다
식물나라 선스프레이 몸에 뿌리기 좋아서 구매했어요 더운 나라 여행가서 뿌리기 좋아요
올리브영 어디에도 있어서 구입하기좋습니다 선스프레이 기획상품으로 편하게 사용하고 있습니다
몸에 간편하게 뿌릴 수 있어 휴대용으로 사용하기에도 좋습니다 가스 형태의 스프레이다 보니 얼굴이 아닌 몸에만 사용해주시는 게 좋을 같아요
양은 적지만 가성비 생각하면 ㄱㅊ은 거 같아욤
평소에 여기저기 뿌리기 좋습니다 생각보다 양이 작아서 여름철에 자주 구매하게 되네요 스프레이 형식이라 뿌리기도 편리하고 좋아요
여기저기 몸에 막 뿌리기 좋습니다 생각보다 양이 적어서 금방 쓰더라구요 여름이 시작되면 쟁여놓아야 합니다
여름이라 여기저기 막 뿌리려고 구매했어요 지난여름에 잘 사용한 기억이 있어서 재구매 하게 되었습니다 추천합니다
지성피부에 민감성이라 선크림도 가끔 트러블 유발 되더라구요ㅠㅠ 주말에 야구장 일정이 있어서 급한대로 뿌리긴 했는데 반지모양대로 탓
한달사용리뷰 작성합니다 안녕하세요 식물나라 워터프루프 선스프레이 구매했습니다 이번에 오키나와 여행 가기전에 구매했습니다 바닷가에서 놀껀데 물에 지워지지않고 자외선 차단율 높은 찾다보니 식물나라 선스프레이가 보이더라구요 사용하기 편하게 스프레이로 쫙 뿌리고 잘펴발라주면 되서 좋았어요 백탁현상도 심하지 않구요 실내에서 사용할때는 바닥에 다 떨어져서 미끄러울 수 있으니 조심하시길 한달사용결과 만족스럽게 사용한 아이템 야외에서 편하게 뿌릴수있는 스프레이형
양이 적어요 여행갈 쓸라고 구매했능데 5일만에 다씀 가성비는 조아요
브랜드의 팬이 되었습니다 한 번 사용해보니 사용하게 됩니다 합리적인 가격에 이보다 더 좋을 수 없습니다
항상 신뢰하고 구매하는 제품입니다 만족스러워요 강추합니다 돈이 아깝지 않은 선택이었습니다
지인 선물용으로 구매했어요 짧은 바지 반팔 입는 여름에 편리한 썬스프레이 자외선 차단 효과 괜찮고 옷에 안 묻어서 좋아요
안녕하세요 식물나라 워터프루프 선스프레이 구매했습니다 이번에 오키나와 여행 가기전에 구매했습니다 바닷가에서 놀껀데 물에 지워지지않고 자외선 차단율 높은 찾다보니 식물나라 선스프레이가 보이더라구요 사용하기 편하게 스프레이로 쫙 뿌리고 잘펴발라주면 되서 좋았어요 백탁현상도 심하지 않구요 실내에서 사용할때는 바닥에 다 떨어져서 미끄러울 수 있으니 조심하시길
구매하고 후회했어요 후기는 좋은건지 몰겠음 바다가는데 워터프루프라길래 샀고 한통을 하루만에 다썼는데도 살 다 탔습니다 바닷가 가기 전부터 20분간격으로 팔다리에 최소 23번씩 왔다갔다하면서 뿌렷는데 실시간으로 살 타는거 보이구요 하루만에 다쓸 정도면 양도 적은편이고 무엇보다 차단효과 1도 없음 리뷰 안쓰는편인데 화나서 남깁니다
조아여 휘리릭 뿌리규 외출하몬 짱짱 자외선 넘 사러여
평소 얼굴은 선크림을 바르는데 몸에는 선크림 바르는게 귀찮아서 스프레이 바르고 있어요 뿌려도 크게 끈적이거나 하는 없고 육안으로도 크게 표시안나요 원쁠원할따 구매하면 여름 바디용 선스프레이 넉넉하게 쓸 수 있습니당
아무래도 가스형 스프레이라 환기가 잘 되는 곳에서 뿌려야 할 같아요ㅠ 분사력이 좋긴한데 피부에 발리는 느낌이 막 나지는 않아서 잘 뿌려졌나 싶긴해요 휘뚜루마뚜루 쓰기는 좋네요
선 스프레이가 가볍게 분사되어 피부에 빠르게 흡수되었습니다 워터프루프 기능이 뛰어나 물놀이 시에도 효과적이었습니다 사용 후에도 끈적임 산뜻한 마무리가 좋았습니다 11 구성으로 오랜 기간 사용할 수 있어 경제적이었습니다
