불용어 제거 리뷰
유우명한 선스틱을 드디어 영접했어요 스틱이라 넘 편하긴 한데 스킨케어단계에서 잘 빠뜨리는ㅋㅋ 익숙치가 않아서 팔이나 목에 바르기 좋은 같아요 얼굴은 바른거 같지 않은 같아서 암튼 써보니 편리하다는 장점이 있네요 휴대용으로 들고다니면서 바를 수 있어서 강추 여름에 필수템으로 꼭 쟁여야할 제품인 같습니다
하나도 안 끈적거린다는 말 듣고 샀어요 목 같은 데에 바르는데 끈적이면 싫어서 안바르게 됐는데 이거는 하나도 안 끈적거려요 엄마도 사달라 사드렸어요 대신 하나도 발린 느낌이 안 나서 바르게 되니 빨리 쓰는 느낌이예요
여행갈 면세러 사려고 했는데 인기가 많은지 품절이라 여행 전날 급하게 오늘드림으로 구매했네요 지금까지 써본 선스틱 가볍고 피부에 발랐다는 느낌이 안 정도예요 전심에 바르면 굉정히 헤프게 쓰게 되지만 자차 효과도 있고 발림성이 좋아서 쟁여놓고 쓸 생각입니다
피부가 좋아보이게 촉촉해지면서 끈적임도 거의없고 흡수도 좋아용 피부에 자극도없이 좋앗습니다 지속적으로 사용하기에도 부담스럽지 않습니당 피부표현도 잘되는거같고 피부가 아주 초크초크 촉촉하니 좋앗습니다 세일하면 무족건 재구매의사 잇구염 잘 산거같아욤 강추에욤 밀착도 잘되네용 ㅎ
샘플 사용해보고 발림성이 구매함 휴대하기도 좋고 스틱형으로 되어 있어 바르기 편함
남편 최애 선크림으로 슥슥 바르기도 쉽고 바르고나면 찝찝하지도 않아용
선스틱은 선크림보다 덜 금방쓰게되서 방 어딘가에 던져둬서 안보임ㅜ 개인젇으로 선밤이 간편하지만 선크림이 더 좋은듯
감히 지성피부라면 사용하고 사랑하는 제품이라고 입이 아프도록 찬양하는 제품 겨울에도 마무리는 제품으로 단종되면 안돼
2년째 사용중입니다 사용하기 편하고 끈적임도 많지가 않아 좋아요
발림이 좋고 끈적임이 없어요 바르고나면 피부결도 부드러워요
매트한 썬크림 좋아하는데 손으로 바르는 건 싫어해서 선스틱으로 구매했어요 매장에서 테스트 써보는데 처음에 매트 해서 바른 지도 모르고 덧 발랐어요 바른 같지도 않은 썬크림 처음이에요 아주 아주 좋아요
썬스틱도 써봤는데 이게 좋아요 끈적임이 없는게 강점이라 생각하구 대신 발렸는지 안발렸는지 모를 정도로 뽀송해요 처음엔 지인 추천 받아서 썼다가 좋아서 엄마도 사드렸어요
보송보송하고 좋아요 사진은 기존에 쓰고있던 이전버전 선스틱인데 잘썼어서 이번에 할인할때 미리 구매했어요 들고다니기에도 좋고 넓은 면적 바르거나 좁은면적 바를때 골고루 잘 발려서 동남아 여행때도 가져갔었는데 가족들 피부도 안탔어요 타기는 했지만 주변사람들이 7일을 동남아에 있었는데 여행갔는지 잘 모를정도로
엄마가 바르기도 편하고 하얗게 되지않는 다고 좋아하세요 다쓰셔서 재구매합니다 슥슥 거울없이 바르기도 편하고 괜찮아요
